path,url,domain,slug,title
/agent-workshop/create-new-agent-identity-configuration/,https://aegisalign.com/agent-workshop/create-new-agent-identity-configuration/,agent-workshop,create-new-agent-identity-configuration,"AEGIS Agentic Workshop - Create New AI Agent"
/agent-workshop/create-new-agent-logic-intelligence/,https://aegisalign.com/agent-workshop/create-new-agent-logic-intelligence/,agent-workshop,create-new-agent-logic-intelligence,"AEGIS Agentic Workshop - Logic & Intelligence"
/agent-workshop/create-new-agent-memory-rag/,https://aegisalign.com/agent-workshop/create-new-agent-memory-rag/,agent-workshop,create-new-agent-memory-rag,"AEGIS Agentic Workshop - Step 3: Memory & RAG"
/agent-workshop/dataquad-agent-deployment/,https://aegisalign.com/agent-workshop/dataquad-agent-deployment/,agent-workshop,dataquad-agent-deployment,"Agentic Workshop - Deployment"
/agent-workshop/detailed-agent-view-dataquad-node/,https://aegisalign.com/agent-workshop/detailed-agent-view-dataquad-node/,agent-workshop,detailed-agent-view-dataquad-node,"AEGIS Agentic Workshop - Detailed Agent View"
/agent-workshop/global-anomaly-heatmap/,https://aegisalign.com/agent-workshop/global-anomaly-heatmap/,agent-workshop,global-anomaly-heatmap,"AEGIS Agentic Workshop - Workshop Topology Status"
/agent-workshop/model-deployment-flow/,https://aegisalign.com/agent-workshop/model-deployment-flow/,agent-workshop,model-deployment-flow,"Agentic Workshop - Core Deployment Review"
/agent-workshop/recursive-logic-debugger-agentic-workshop/,https://aegisalign.com/agent-workshop/recursive-logic-debugger-agentic-workshop/,agent-workshop,recursive-logic-debugger-agentic-workshop,"AEGIS Agentic Workshop - Recursive Logic Debugger"
/agent-workshop/recursive-training-progress-report/,https://aegisalign.com/agent-workshop/recursive-training-progress-report/,agent-workshop,recursive-training-progress-report,"AEGIS AI Audit - Recursive Training Progress"
/agent-workshop/sssp-respawn-archive-1/,https://aegisalign.com/agent-workshop/sssp-respawn-archive-1/,agent-workshop,sssp-respawn-archive-1,"AEGIS Agentic Workshop - Governed Respawn Archive"
/agent-workshop/sssp-respawn-archive-2/,https://aegisalign.com/agent-workshop/sssp-respawn-archive-2/,agent-workshop,sssp-respawn-archive-2,"AEGIS Agentic Workshop - Archive Route Consolidated"
/custodian-ui/api-reference-aegis-protocol/,https://aegisalign.com/custodian-ui/api-reference-aegis-protocol/,custodian-ui,api-reference-aegis-protocol,"AEGIS Protocol API Reference"
/custodian-ui/create-new-page-custodian-tool/,https://aegisalign.com/custodian-ui/create-new-page-custodian-tool/,custodian-ui,create-new-page-custodian-tool,"AegisAlign | Create New Page"
/custodian-ui/custodian-cockpit-hud-1/,https://aegisalign.com/custodian-ui/custodian-cockpit-hud-1/,custodian-ui,custodian-cockpit-hud-1,"AegisAlign | Custodian Operations Cockpit"
/custodian-ui/custodian-hub-operations-gallery/,https://aegisalign.com/custodian-ui/custodian-hub-operations-gallery/,custodian-ui,custodian-hub-operations-gallery,"Custodian Hub Operations Gallery"
/custodian-ui/custodian-login-portal/,https://aegisalign.com/custodian-ui/custodian-login-portal/,custodian-ui,custodian-login-portal,"AEGIS Protocol | Custodian Login"
/custodian-ui/decentralized-governance-voting/,https://aegisalign.com/custodian-ui/decentralized-governance-voting/,custodian-ui,decentralized-governance-voting,"AEGIS Protocol | Governance Dashboard"
/custodian-ui/incident-report-aeg-2023-08/,https://aegisalign.com/custodian-ui/incident-report-aeg-2023-08/,custodian-ui,incident-report-aeg-2023-08,"AegisAlign Incident Case | AEG-2023-08"
/custodian-ui/proposal-discussion-details/,https://aegisalign.com/custodian-ui/proposal-discussion-details/,custodian-ui,proposal-discussion-details,"AEGIS Governance | AIP-154 Discussion"
/custodian-ui/regional-drill-down-us-east-1/,https://aegisalign.com/custodian-ui/regional-drill-down-us-east-1/,custodian-ui,regional-drill-down-us-east-1,"AEGIS Protocol - US-EAST-1 Regional Review"
/custodian-ui/safety-hold-protocol-sequence/,https://aegisalign.com/custodian-ui/safety-hold-protocol-sequence/,custodian-ui,safety-hold-protocol-sequence,"AEGIS Custodian - Safety Hold Protocol"
/custodian-ui/security-incident-assessor-center/,https://aegisalign.com/custodian-ui/security-incident-assessor-center/,custodian-ui,security-incident-assessor-center,"AEGIS Protocol | Incident Coordination Center"
/custodian-ui/security-logs-aegis-protocol/,https://aegisalign.com/custodian-ui/security-logs-aegis-protocol/,custodian-ui,security-logs-aegis-protocol,"AEGIS Protocol | Security Logs"
/custodian-ui/site-custodian-hub-gallery-update/,https://aegisalign.com/custodian-ui/site-custodian-hub-gallery-update/,custodian-ui,site-custodian-hub-gallery-update,"AegisAlign | Governed Publishing Review"
/custodian-ui/site-custodian-login-recruitment-hub/,https://aegisalign.com/custodian-ui/site-custodian-login-recruitment-hub/,custodian-ui,site-custodian-login-recruitment-hub,"AegisAlign | Custodian Intake & Recruitment"
/custodian-ui/site-custodians/,https://aegisalign.com/custodian-ui/site-custodians/,custodian-ui,site-custodians,"Site Custodians"
/custodian-ui/submission-review-interface/,https://aegisalign.com/custodian-ui/submission-review-interface/,custodian-ui,submission-review-interface,"Submission Review Interface"
/custodian-ui/system-health-report-aegis-protocol/,https://aegisalign.com/custodian-ui/system-health-report-aegis-protocol/,custodian-ui,system-health-report-aegis-protocol,"AegisAlign | Live System Health"
/custodian-ui/ticket-details-aeg-4092/,https://aegisalign.com/custodian-ui/ticket-details-aeg-4092/,custodian-ui,ticket-details-aeg-4092,"AegisAlign | Support Case AEG-4092"
/developer-depot/api-reference-aegis-protocol/,https://aegisalign.com/developer-depot/api-reference-aegis-protocol/,developer-depot,api-reference-aegis-protocol,"AEGIS Protocol API Reference"
/developer-depot/api-usage-report-aegis-protocol/,https://aegisalign.com/developer-depot/api-usage-report-aegis-protocol/,developer-depot,api-usage-report-aegis-protocol,"AEGIS Protocol | API Usage Report"
/developer-depot/colab-creation-page-1/,https://aegisalign.com/developer-depot/colab-creation-page-1/,developer-depot,colab-creation-page-1,"AegisAlign - Collaboration Hub"
/developer-depot/colab-creation-page-2/,https://aegisalign.com/developer-depot/colab-creation-page-2/,developer-depot,colab-creation-page-2,"AegisAlign - Collaboration Hub"
/developer-depot/developer-console-aegis-protocol/,https://aegisalign.com/developer-depot/developer-console-aegis-protocol/,developer-depot,developer-console-aegis-protocol,"AEGIS Protocol | Developer Console"
/developer-depot/developer-hub-depot/,https://aegisalign.com/developer-depot/developer-hub-depot/,developer-depot,developer-hub-depot,"AegisAlign Developer Hub & Depot"
/developer-depot/my-submissions-dashboard/,https://aegisalign.com/developer-depot/my-submissions-dashboard/,developer-depot,my-submissions-dashboard,"My Submissions - AegisAlign Depot"
/developer-depot/network-topology-visualizer/,https://aegisalign.com/developer-depot/network-topology-visualizer/,developer-depot,network-topology-visualizer,"AEGIS Protocol | Network Topology Visualizer"
/developer-depot/node-management-aegis-protocol/,https://aegisalign.com/developer-depot/node-management-aegis-protocol/,developer-depot,node-management-aegis-protocol,"AEGIS Protocol - Node Management"
/developer-depot/plugin-developer-analytics/,https://aegisalign.com/developer-depot/plugin-developer-analytics/,developer-depot,plugin-developer-analytics,"AegisGuard Pro Analytics | AegisAlign Depot"
/developer-depot/protocol-configuration-aegis-protocol/,https://aegisalign.com/developer-depot/protocol-configuration-aegis-protocol/,developer-depot,protocol-configuration-aegis-protocol,"AegisAlign | Protocol Configuration"
/developer-depot/protocol-isolated-confirmation/,https://aegisalign.com/developer-depot/protocol-isolated-confirmation/,developer-depot,protocol-isolated-confirmation,"Security Cockpit - Protocol Isolated"
/developer-depot/submit-plugin-to-depot/,https://aegisalign.com/developer-depot/submit-plugin-to-depot/,developer-depot,submit-plugin-to-depot,"AEGIS Depot - Submit Plugin"
/developer-depot/web3-portal/,https://aegisalign.com/developer-depot/web3-portal/,developer-depot,web3-portal,"AegisAlign | Web3 Gateway"
/developer-depot/webhooks-configuration-aegis-protocol/,https://aegisalign.com/developer-depot/webhooks-configuration-aegis-protocol/,developer-depot,webhooks-configuration-aegis-protocol,"AEGIS Protocol - Webhooks Configuration"
/nexus/aegis-governance-hub/,https://aegisalign.com/nexus/aegis-governance-hub/,nexus,aegis-governance-hub,"Aegis Governance Hub"
/nexus/aegis-peer-profile/,https://aegisalign.com/nexus/aegis-peer-profile/,nexus,aegis-peer-profile,"AEGIS Peer Profile"
/nexus/aegis-protocol-dashboard/,https://aegisalign.com/nexus/aegis-protocol-dashboard/,nexus,aegis-protocol-dashboard,"AEGIS Protocol - Mission Guidance"
/nexus/aegis-protocol-documentation-portal/,https://aegisalign.com/nexus/aegis-protocol-documentation-portal/,nexus,aegis-protocol-documentation-portal,"Aegis Protocol Documentation Portal"
/nexus/aegis-protocol-features/,https://aegisalign.com/nexus/aegis-protocol-features/,nexus,aegis-protocol-features,"Aegis Protocol Features"
/nexus/aegisalign-landing-page/,https://aegisalign.com/nexus/aegisalign-landing-page/,nexus,aegisalign-landing-page,"Aegisalign Landing Page"
/nexus/aegisalign-pricing-plans/,https://aegisalign.com/nexus/aegisalign-pricing-plans/,nexus,aegisalign-pricing-plans,"Pricing - AegisAlign"
/nexus/aegisalign-settings/,https://aegisalign.com/nexus/aegisalign-settings/,nexus,aegisalign-settings,"Aegisalign Settings"
/nexus/login-aegisalign/,https://aegisalign.com/nexus/login-aegisalign/,nexus,login-aegisalign,"AegisAlign | Secure Login"
/nexus/login-success-transition/,https://aegisalign.com/nexus/login-success-transition/,nexus,login-success-transition,"Login Success Transition"
/nexus/multi-factor-authentication/,https://aegisalign.com/nexus/multi-factor-authentication/,nexus,multi-factor-authentication,"Multi Factor Authentication"
/nexus/signup-aegisalign/,https://aegisalign.com/nexus/signup-aegisalign/,nexus,signup-aegisalign,"Sign Up | AegisAlign Protocol"
